date,state,state_ibge_code,deaths,created_at
2019-12-29,AC,12,9,2021-03-17 19:42
2019-12-30,AC,12,14,2021-03-17 19:42
2019-12-31,AC,12,15,2021-03-17 19:42
2020-01-01,AC,12,12,2021-03-17 19:42
2020-01-02,AC,12,8,2021-03-17 19:42
2020-01-03,AC,12,11,2021-03-17 19:42
2020-01-04,AC,12,6,2021-03-17 19:42
2020-01-05,AC,12,12,2021-03-17 19:42
2020-01-06,AC,12,15,2021-03-17 19:42
2020-01-07,AC,12,12,2021-03-17 19:42
2020-01-08,AC,12,12,2021-03-17 19:42
2020-01-09,AC,12,12,2021-03-17 19:42
2020-01-10,AC,12,11,2021-03-17 19:42
2020-01-12,AC,12,7,2021-03-17 19:42
2020-01-13,AC,12,12,2021-03-17 19:42
2020-01-14,AC,12,11,2021-03-17 19:42
2020-01-15,AC,12,8,2021-03-17 19:42
2020-01-16,AC,12,6,2021-03-17 19:42
2020-01-17,AC,12,8,2021-03-17 19:42
2020-01-18,AC,12,9,2021-03-17 19:42
2020-01-19,AC,12,7,2021-03-17 19:42
2020-01-20,AC,12,12,2021-03-17 19:42
2020-01-21,AC,12,12,2021-03-17 19:42
2020-01-22,AC,12,6,2021-03-17 19:42
2020-01-23,AC,12,15,2021-03-17 19:42
2020-01-24,AC,12,12,2021-03-17 19:42
2020-01-25,AC,12,8,2021-03-17 19:42
2020-01-26,AC,12,10,2021-03-17 19:42
2020-01-27,AC,12,6,2021-03-17 19:42
2020-01-28,AC,12,12,2021-03-17 19:42
2020-01-29,AC,12,7,2021-03-17 19:42
2020-01-30,AC,12,10,2021-03-17 19:42
2020-01-31,AC,12,7,2021-03-17 19:42
2020-02-01,AC,12,8,2021-03-17 19:42
2020-02-02,AC,12,12,2021-03-17 19:42
2020-02-03,AC,12,7,2021-03-17 19:42
2020-02-04,AC,12,8,2021-03-17 19:42
2020-02-05,AC,12,8,2021-03-17 19:42
2020-02-06,AC,12,12,2021-03-17 19:42
2020-02-07,AC,12,14,2021-03-17 19:42
2020-02-08,AC,12,8,2021-03-17 19:42
2020-02-09,AC,12,13,2021-03-17 19:42
2020-02-10,AC,12,6,2021-03-17 19:42
2020-02-11,AC,12,11,2021-03-17 19:42
2020-02-12,AC,12,17,2021-03-17 19:42
2020-02-13,AC,12,10,2021-03-17 19:42
2020-02-14,AC,12,11,2021-03-17 19:42
2020-02-15,AC,12,14,2021-03-17 19:42
2020-02-16,AC,12,11,2021-03-17 19:42
2020-02-17,AC,12,10,2021-03-17 19:42
2020-02-18,AC,12,9,2021-03-17 19:42
2020-02-19,AC,12,9,2021-03-17 19:42
2020-02-20,AC,12,11,2021-03-17 19:42
2020-02-21,AC,12,9,2021-03-17 19:42
2020-02-22,AC,12,5,2021-03-17 19:42
2020-02-23,AC,12,11,2021-03-17 19:42
2020-02-24,AC,12,6,2021-03-17 19:42
2020-02-25,AC,12,8,2021-03-17 19:42
2020-02-26,AC,12,11,2021-03-17 19:42
2020-02-27,AC,12,10,2021-03-17 19:42
2020-02-28,AC,12,14,2021-03-17 19:42
2020-02-29,AC,12,8,2021-03-17 19:42
2020-03-01,AC,12,10,2021-03-17 19:42
2020-03-02,AC,12,9,2021-03-17 19:42
2020-03-03,AC,12,12,2021-03-17 19:42
2020-03-04,AC,12,10,2021-03-17 19:42
2020-03-05,AC,12,12,2021-03-17 19:42
2020-03-06,AC,12,14,2021-03-17 19:42
2020-03-07,AC,12,11,2021-03-17 19:42
2020-03-08,AC,12,11,2021-03-17 19:42
2020-03-09,AC,12,16,2021-03-17 19:42
2020-03-10,AC,12,12,2021-03-17 19:42
2020-03-11,AC,12,12,2021-03-17 19:42
2020-03-12,AC,12,11,2021-03-17 19:42
2020-03-13,AC,12,11,2021-03-17 19:42
2020-03-14,AC,12,6,2021-03-17 19:42
